date,P,T,Ti,Tp,Td,pop,P7,T7
2020-09-23,12854,198893,13.565576923076922,4.994134615384615,261.805,67114995,10835.57142857143,179178.14285714287
2020-09-24,12591,199983,14.235384615384616,5.142211538461538,262.8725,67114995,10703.285714285714,173518.42857142858
2020-09-25,12138,206258,13.283653846153847,4.725,272.95548076923075,67114995,10568.57142857143,168730.14285714287
2020-09-26,4710,82736,5.219134615384615,4.718653846153846,110.32682692307692,67114995,10511.285714285714,167362.42857142858
2020-09-27,1355,22420,1.333846153846154,4.143653846153846,27.710673076923076,67114995,10453.714285714286,166471.0
2020-09-28,13608,215512,15.152884615384616,5.096826923076923,285.65259615384616,67114995,10189.285714285714,163094.57142857142
2020-09-29,12664,193398,13.959326923076922,5.171923076923077,256.2979807692308,67114995,9988.57142857143,159885.7142857143
2020-09-30,13182,184843,14.72096153846154,5.696634615384616,246.30807692307692,67114995,10035.42857142857,157878.57142857142
2020-10-01,14467,188077,15.59,6.072211538461539,244.4001923076923,67114995,10303.42857142857,156177.7142857143
2020-10-02,16031,203154,17.282115384615384,6.1213461538461535,269.2728846153846,67114995,10859.57142857143,155734.2857142857
2020-10-03,7130,87511,7.815480769230769,6.534711538461538,116.18961538461538,67114995,11205.285714285714,156416.42857142858
2020-10-04,1945,24129,2.0021153846153847,5.483942307692308,30.813653846153844,67114995,11289.57142857143,156660.57142857142
2020-10-05,21225,232112,24.33096153846154,7.454423076923077,307.67701923076925,67114995,12377.714285714286,159032.0
2020-10-06,19498,210501,21.734134615384615,7.473942307692307,277.9047115384615,67114995,13354.0,161475.2857142857
2020-10-07,20482,206949,23.21596153846154,8.221730769230769,270.8951923076923,67114995,14396.857142857143,164633.2857142857
2020-10-08,22306,223159,25.37509615384615,8.427788461538462,288.89875,67114995,15516.714285714286,169645.0
2020-10-09,23821,250523,27.928846153846152,8.06673076923077,329.5153846153846,67114995,16629.571428571428,176412.0
2020-10-10,11137,110220,12.952403846153846,8.5125,147.41836538461538,67114995,17202.0,179656.14285714287
2020-10-11,3156,30525,3.3996153846153847,8.540288461538463,37.27230769230769,67114995,17375.0,180569.85714285713
2020-10-12,31421,288253,37.43653846153846,9.296634615384615,383.7608653846154,67114995,18831.571428571428,188590.0
2020-10-13,28355,266452,33.511250000000004,8.990961538461539,348.6516346153846,67114995,20096.85714285714,196583.0
2020-10-14,28558,270043,33.205769230769235,8.992596153846154,350.2928846153846,67114995,21250.571428571428,205596.42857142858
2020-10-15,31781,290680,37.760865384615386,9.548076923076923,383.6208653846154,67114995,22604.14285714286,215242.2857142857
2020-10-16,33258,311370,39.771153846153844,9.201442307692307,411.4696153846154,67114995,23952.285714285714,223934.7142857143
2020-10-17,15129,135473,18.470673076923077,9.813461538461539,182.3,67114995,24522.571428571428,227542.2857142857
2020-10-18,4603,37990,4.909326923076923,10.003076923076922,45.12586538461539,67114995,24729.285714285714,228608.7142857143
2020-10-19,44821,342133,54.75211538461539,11.598942307692308,457.8195192307693,67114995,26643.571428571428,236305.85714285713
2020-10-20,43998,309998,55.78971153846154,12.830961538461539,416.8289423076923,67114995,28878.285714285714,242526.7142857143
2020-10-21,46370,318324,57.70673076923077,12.961346153846154,428.2817307692308,67114995,31422.85714285714,249424.0
2020-10-22,50769,344086,64.05615384615385,13.126538461538463,469.11153846153843,67114995,34135.42857142857,257053.42857142858
2020-10-23,54875,375047,70.93028846153847,13.134134615384616,516.4884615384616,67114995,37223.57142857143,266150.14285714284
2020-10-24,24998,160466,32.427403846153844,14.263365384615385,218.03663461538463,67114995,38633.42857142857,269720.5714285714
2020-10-25,7175,44240,8.165096153846154,13.908365384615385,52.589615384615385,67114995,39000.857142857145,270613.4285714286
2020-10-26,68364,414450,89.35375,15.105865384615385,573.0519230769231,67114995,42364.142857142855,280944.4285714286
2020-10-27,61111,373004,81.04211538461537,14.978942307692307,520.8036538461539,67114995,44808.857142857145,289945.28571428574
2020-10-28,56518,364709,75.72711538461539,14.291826923076922,509.6395192307692,67114995,46258.57142857143,296571.71428571426
2020-10-29,55828,373821,75.95365384615386,13.825096153846154,529.6458653846154,67114995,46981.28571428572,300819.5714285714
2020-10-30,58222,398271,79.31413461538462,13.460865384615385,576.9408653846153,67114995,47459.42857142857,304137.28571428574
2020-10-31,26116,170493,35.160096153846155,14.171634615384615,238.78125,67114995,47619.142857142855,305569.71428571426
2020-11-01,6857,44075,8.326538461538462,14.267211538461538,55.29615384615385,67114995,47573.71428571428,305546.14285714284
2020-11-02,69799,433203,95.77278846153847,14.64528846153846,629.6969230769231,67114995,47778.71428571428,308225.14285714284
2020-11-03,58739,380414,81.64586538461539,14.192884615384616,555.4145192307692,67114995,47439.857142857145,309283.71428571426
2020-11-04,49855,351736,70.34634615384616,13.038365384615386,520.1298076923077,67114995,46488.0,307430.4285714286
2020-11-05,46742,366591,66.95067307692308,11.92701923076923,550.4976923076923,67114995,45190.0,306397.5714285714
2020-11-06,44871,374686,64.14125,11.273942307692307,560.5197115384616,67114995,43282.71428571428,303028.28571428574
2020-11-07,17835,146065,25.224903846153843,11.774423076923076,208.63538461538462,67114995,42099.71428571428,299538.5714285714
2020-11-08,4301,33852,5.787115384615385,12.620961538461538,44.83798076923077,67114995,41734.57142857143,298078.14285714284
2020-11-09,47472,388335,69.13903846153846,11.646442307692308,580.7048076923077,67114995,38545.0,291668.4285714286
2020-11-10,37243,348467,55.64673076923077,10.364326923076923,525.63,67114995,35474.142857142855,287104.5714285714
2020-11-11,5363,50498,7.1832692307692305,10.237403846153846,71.55461538461539,67114995,29118.14285714286,244070.57142857142
2020-11-12,36416,359095,53.91798076923077,9.555096153846154,557.2549038461539,67114995,27643.0,242999.7142857143
2020-11-13,28836,308230,43.30509615384616,8.859903846153845,473.2449038461539,67114995,25352.285714285714,233506.0
2020-11-14,10973,115271,16.03548076923077,9.479326923076924,169.81173076923076,67114995,24372.0,229106.85714285713
2020-11-15,2709,26412,4.031730769230769,10.14423076923077,38.05336538461539,67114995,24144.571428571428,228044.0
2020-11-16,30250,310741,44.564230769230775,9.319134615384616,465.755,67114995,21684.285714285714,216959.14285714287
2020-11-17,21749,257647,32.14971153846154,8.067115384615384,388.1341346153846,67114995,19470.85714285714,203984.85714285713
2020-11-18,17332,214498,25.022403846153846,7.713173076923076,317.47865384615386,67114995,21180.714285714286,227413.42857142858
2020-11-19,16770,235559,24.644519230769234,6.744903846153846,357.16615384615386,67114995,18374.14285714286,209765.42857142858
2020-11-20,16214,245857,23.872115384615384,6.3425,367.2975,67114995,16571.0,200855.0
2020-11-21,7237,105250,10.435673076923077,6.782596153846153,152.3610576923077,67114995,16037.285714285714,199423.42857142858
2020-11-22,1832,24516,2.5342307692307693,7.185096153846154,33.70413461538462,67114995,15912.0,199152.57142857142
2020-11-23,17719,256319,26.87778846153846,6.951634615384616,381.7219230769231,67114995,14121.857142857143,191378.0
2020-11-24,13706,213476,21.17326923076923,6.509903846153846,325.2442307692308,67114995,12972.857142857143,185067.85714285713
2020-11-25,12617,194094,18.724615384615387,6.52326923076923,281.5360576923077,67114995,12299.285714285714,182153.0
2020-11-26,12491,207326,18.652788461538464,5.890865384615385,309.7079807692308,67114995,11688.0,178119.7142857143
2020-11-27,12432,219818,18.286442307692308,5.482884615384616,326.24115384615385,67114995,11147.714285714286,174399.85714285713
2020-11-28,6059,99150,8.995480769230769,6.048269230769231,146.82961538461538,67114995,10979.42857142857,173528.42857142858
2020-11-29,1605,23715,2.293653846153846,7.394711538461538,32.27375,67114995,10947.0,173414.0
2020-11-30,15832,238142,23.881153846153843,6.751634615384615,353.88548076923075,67114995,10677.42857142857,170817.2857142857
2020-12-01,12361,198748,19.03201923076923,6.511153846153846,292.49009615384614,67114995,10485.285714285714,168713.2857142857
2020-12-02,11531,180227,17.792403846153846,6.736826923076923,260.5056730769231,67114995,10330.142857142857,166732.2857142857
2020-12-03,11969,199429,18.38951923076923,6.124423076923078,302.7635576923077,67114995,10255.57142857143,165604.14285714287
2020-12-04,12526,217960,19.455865384615386,5.887307692307692,321.4004807692308,67114995,10269.0,165338.7142857143
2020-12-05,6568,104963,9.886634615384615,6.384903846153846,153.63173076923078,67114995,10341.714285714286,166169.14285714287
2020-12-06,1753,26304,2.3891346153846156,6.830192307692308,35.27846153846154,67114995,10362.857142857143,166539.0
2020-12-07,16673,256010,25.351153846153846,6.468365384615385,376.2355769230769,67114995,10483.0,169091.57142857142
2020-12-08,13206,224431,20.160192307692306,5.932596153846154,324.60903846153843,67114995,10603.714285714286,172760.57142857142
2020-12-09,12703,205950,19.747980769230768,6.33375,297.93778846153845,67114995,10771.142857142857,176435.2857142857
2020-12-10,13510,225551,20.213942307692307,5.882211538461538,338.33298076923074,67114995,10991.285714285714,180167.0
2020-12-11,14054,251442,21.13625,5.555576923076923,366.3929807692308,67114995,11209.57142857143,184950.14285714287
2020-12-12,7815,132562,11.707403846153845,6.075673076923077,189.02278846153845,67114995,11387.714285714286,188892.85714285713
2020-12-13,2027,34023,2.9232692307692307,6.647596153846154,42.47634615384615,67114995,11426.857142857143,189995.57142857142
2020-12-14,19599,327764,29.37153846153846,5.994615384615385,476.7880769230769,67114995,11844.857142857143,200246.14285714287
2020-12-15,15873,312076,23.846346153846152,5.149230769230769,447.68307692307695,67114995,12225.857142857143,212766.85714285713
2020-12-16,15340,335105,23.12596153846154,4.997788461538462,461.31384615384616,67114995,12602.57142857143,231217.57142857142
2020-12-17,15821,397094,24.700000000000003,4.443557692307692,547.6082692307692,67114995,12932.714285714286,255723.7142857143
2020-12-18,17433,504435,26.025,3.743846153846154,689.6779807692308,67114995,13415.42857142857,291865.5714285714
2020-12-19,10618,333762,15.487403846153846,3.5294230769230768,449.5084615384615,67114995,13815.857142857143,320608.4285714286
2020-12-20,3645,116910,4.987211538461538,3.7169230769230768,149.04442307692307,67114995,14047.0,332449.4285714286
2020-12-21,21162,675485,31.603653846153847,3.5311538461538463,906.5659615384616,67114995,14270.285714285714,382123.85714285716
2020-12-22,18270,737264,27.98442307692308,2.909326923076923,986.1580769230769,67114995,14612.714285714286,442865.0
2020-12-23,16747,729769,24.938942307692308,2.602980769230769,981.9000000000001,67114995,14813.714285714286,499245.5714285714
2020-12-24,12922,501772,19.44951923076923,2.9077884615384617,670.2747115384615,67114995,14399.57142857143,514199.5714285714
2020-12-25,1298,38245,1.763173076923077,3.864519230769231,45.595480769230775,67114995,12094.57142857143,447601.0
2020-12-26,9703,220591,14.393076923076924,4.7375961538461535,307.9958653846154,67114995,11963.857142857143,431433.71428571426
